369803,alternative rock
369803,rock
369804,heavy metal
369804,rock
369805,pop rock
369805,rock
369806,classic rock
369806,hard rock
369806,prog rock
369806,rock
342842,alternative rock
342842,new wave
342842,pop rock
342842,rock
342842,pop
342836,thrash
342836,rock
342837,thrash
342837,rock
342838,thrash
342838,speed metal
342838,rock
342839,thrash
342839,rock
342840,thrash
342840,rock
342832,metalcore
342832,rock
342834,rock
342826,blues
342827,blues
342828,electric blues
342828,blues
342816,heavy metal
342816,rock
342817,alternative rock
342817,rock
342818,pop punk
342818,pop rock
342818,rock
342819,indie rock
342819,rock
342820,alternative rock
342820,rock
342812,pop rock
342812,rock
342813,blues rock
342813,hard rock
342813,rock
342814,hard rock
342814,pop rock
342814,rock
342807,alternative rock
342807,grunge
342807,rock
342808,alternative rock
342808,grunge
342808,rock
342809,alternative rock
342809,grunge
342809,rock
342810,alternative rock
342810,rock
342802,classic rock
342802,arena rock
342802,parody
342802,rock
342796,speed metal
342796,rock
342797,thrash
342797,heavy metal
342797,rock
342798,thrash
342798,rock
342799,funk metal
342799,hard rock
342799,hip hop
342799,rock
342790,alternative rock
342790,rock
342791,punk
342791,rock
342792,oi
342792,punk
342792,folk
342792,rock
342792,"folk, world, & country"
342793,pop punk
342793,celtic
342793,punk
342793,rock
342793,"folk, world, & country"
342794,lo-fi
342794,indie rock
342794,rock
342786,folk rock
342786,acoustic
342786,ethereal
342786,rock
342787,alternative rock
342787,folk rock
342787,rock
342788,alternative rock
342788,folk rock
342788,rock
342780,pop rock
342780,rock
342781,pop rock
342781,rock
342782,new wave
342782,rock
342782,pop
342776,nu metal
342776,rock
342778,alternative rock
342778,nu metal
342778,rock
342777,rock
342770,rock
342771,alternative rock
342771,rock
342772,alternative rock
342772,rock
342773,alternative rock
342773,rock
342766,hard rock
342766,rock
342767,hard rock
342767,alternative rock
342767,rock
342768,alternative rock
342768,rock
271479,funk metal
271479,nu metal
271479,rock
271480,alternative rock
271480,rock
271481,funk metal
271481,hard rock
271481,rock
295065,alternative rock
295065,rock
295066,hard rock
295066,rock
295067,rock
295070,blues rock
295070,classic rock
295070,rock
295071,electric blues
295071,rock
295072,blues rock
295072,psychedelic rock
295072,acid rock
295072,hard rock
295072,rock
295074,blues rock
295074,psychedelic rock
295074,rock
295075,modern electric blues
295075,psychedelic rock
295075,rock
295075,blues
295076,psychedelic rock
295076,rock
295076,blues
295078,blues rock
295078,psychedelic rock
295078,rock
295078,blues
295079,prog rock
295079,rock
295080,psychedelic rock
295080,rock
295082,psychedelic rock
295082,classic rock
295082,rock
295083,psychedelic rock
295083,blues rock
295083,rock
295084,psychedelic rock
295084,rock
295087,alternative rock
295087,hip hop
295087,rock
295088,alternative rock
295088,rock
295089,nu metal
295089,rock
295090,nu metal
295090,rock
295091,nu metal
295091,rock
295092,nu metal
295092,rock
295094,alternative rock
295094,acoustic
295094,grunge
295094,rock
295095,alternative rock
295095,hard rock
295095,rock
295096,grunge
295096,rock
295097,alternative rock
295097,grunge
295097,rock
295098,alternative rock
295098,grunge
295098,rock
342750,pop rock
342750,classic rock
342750,rock
342751,hard rock
342751,glam
342751,rock
342752,hard rock
342752,rock
342753,heavy metal
342753,rock
342755,alternative rock
342755,rock
342757,alternative rock
342757,grunge
342757,rock
342758,alternative rock
342758,grunge
342758,pop rock
342758,rock
342759,alternative rock
342759,grunge
342759,nu metal
342759,rock
342761,arena rock
342761,rock
342762,rock
342763,hard rock
342763,rock
342764,classic rock
342764,rock
342765,soft rock
342765,pop rock
342765,acoustic
342765,rock
295057,pop rock
295057,rock
295058,hard rock
295058,rock
295059,pop rock
295059,heavy metal
295059,arena rock
295059,hard rock
295059,rock
295060,hard rock
295060,pop rock
295060,rock
295051,hardcore
295051,heavy metal
295051,rock
295061,soft rock
295061,rock
295052,metalcore
295052,heavy metal
295052,rock
295053,heavy metal
295053,hard rock
295053,rock
295054,metalcore
295054,heavy metal
295054,rock
295055,hardcore
295055,heavy metal
295055,rock
258402,alternative rock
258402,indie rock
258402,rock
258403,alternative rock
258403,rock
258404,alternative rock
258404,rock
258405,alternative rock
258405,hard rock
258405,rock
258406,alternative rock
258406,rock
295045,pop rock
295045,rock
295046,alternative rock
295046,rock
295047,classic rock
295047,rock
295048,pop rock
295048,rock
295049,pop rock
295049,rock
295041,heavy metal
295041,rock
295042,rock
295035,indie rock
295035,rock
295036,alternative rock
295036,rock
295037,alternative rock
295037,electronic
295037,rock
295038,indie rock
295038,rock
295039,pop
295030,glam
295030,heavy metal
295030,rock
295031,hard rock
295031,rock
295032,arena rock
295032,rock
295033,glam
295033,rock
295034,hard rock
295034,heavy metal
295034,rock
295024,indie rock
295024,rock
295025,indie rock
295025,rock
295026,rock
295027,indie rock
295027,rock
295028,blues rock
295028,garage rock
295028,rock
295018,alternative rock
295018,rock
295019,hard rock
295019,rock
295020,hard rock
295020,rock
295021,hard rock
295021,rock
295022,hard rock
295022,rock
295012,pop rock
295012,arena rock
295012,rock
295013,aor
295013,arena rock
295013,rock
295014,arena rock
295014,classic rock
295014,rock
295015,hard rock
295015,pop rock
295015,vocal
295015,rock
295015,pop
295016,classic rock
295016,rock
295007,alternative rock
295007,rock
295008,rock
295010,alternative rock
295010,rock
295000,alternative rock
295000,rock
295002,alternative rock
295002,rock
295003,alternative rock
295003,rock
295004,alternative rock
295004,rock
294932,hard rock
294932,rock
294992,alternative rock
294992,acoustic
294992,rock
294992,reggae
294993,ska
294993,punk
294993,rock
294996,rock
294996,reggae
295063,funk metal
295063,hard rock
295063,rock
342756,alternative rock
342756,rock
295043,rock
295001,rock
294982,soft rock
294982,pop rock
294982,rock
294982,pop
294983,new wave
294983,synth-pop
294983,rock
294983,pop
294984,new wave
294984,synth-pop
294984,rock
294984,pop
294978,pop rock
294978,rock
294979,pop rock
294979,rock
294980,pop rock
294980,rock
294972,alternative rock
294972,rock
294973,alternative rock
294973,rock
294976,alternative rock
294976,indie rock
294976,rock
294968,thrash
294968,rock
294969,thrash
294969,death metal
294969,heavy metal
294969,rock
294970,thrash
294970,rock
294966,soul
294966,funk
294966,disco
294966,electronic
294966,funk / soul
294963,hard rock
294963,pop rock
294963,rock
294965,country rock
294965,classic rock
294965,rock
294967,pop rock
294967,rock
294953,rock
294954,nu metal
294954,rock
294955,nu metal
294955,hard rock
294955,alternative rock
294955,rock
294956,alternative rock
294956,rock
294959,garage rock
294959,rock
294960,garage rock
294960,rock
294943,hardcore
294943,punk
294943,rock
294944,alternative rock
294944,rock
294945,alternative rock
294945,emo
294945,punk
294945,rock
294946,alternative rock
294946,punk
294946,rock
294947,rock
294940,surf
294940,rock
294941,instrumental
294941,rock
294941,pop
294942,surf
294942,rock
294934,alternative rock
294934,rock
294935,nu metal
294935,hard rock
294935,rock
294936,heavy metal
294936,rock
294937,rock
294938,alternative rock
294938,rock
294929,downtempo
294929,soul
294929,electronic
294929,funk / soul
294930,electric blues
294930,classic rock
294930,rock
294930,blues
294931,classic rock
294931,rock
294923,punk
294923,rock
294925,punk
294925,rock
294926,punk
294926,rock
294927,punk
294927,rock
294913,alternative rock
294913,rock
294914,alternative rock
294914,rock
294915,alternative rock
294915,rock
294916,alternative rock
294916,rock
294909,stoner rock
294909,prog rock
294909,heavy metal
294909,rock
294910,math rock
294910,southern rock
294910,prog rock
294910,heavy metal
294910,rock
294911,stoner rock
294911,hardcore
294911,heavy metal
294911,sludge metal
